PM2.5,PM10,SO2,NO2,CO,O3
16.665354330708663,41.316807738814994,2.8187725631768954,16.060653753026635,0.43084054388133497,36.267781908302354
17.28891509433962,39.96523178807947,2.4233149171270716,14.354334621755937,0.4308700501952035,27.113355970571593
9.280876494023904,21.127848804891606,1.8555005500550057,13.340066225165563,0.41015050167224076,20.977514124293783
22.639593908629443,53.86661931818182,2.7393534850640116,12.817808219178081,0.4039041095890411,33.445876811594204
24.576782449725776,59.88658865886589,3.1233907524932003,17.698003629764067,0.48879816513761465,32.66306976744186
19.5630447414294,46.538766270515,3.056573033707865,17.54135593220339,0.4639049235993209,23.192258809936455
21.089655172413792,47.720670391061454,2.377541899441341,14.503535353535353,0.409045197740113,28.0699200913242
23.024900962082626,51.98893805309734,3.049667405764967,15.257397107897663,0.40965787997756586,31.708338060124788
19.2835734870317,46.241873278236916,3.0975730832873687,14.388257993384785,0.37917968750000003,29.726979638009052
24.219347581552306,51.54196379594076,2.70609220636663,15.066299559471366,0.4413507504168983,25.70456338028169
28.88888888888889,58.16942604856512,3.219107929515418,16.562291434927698,0.46951982132886655,28.398242630385486
41.20601336302895,85.5428253615128,3.449638286032276,16.411973018549748,0.5140236353404615,34.050142287990894
31.642081189251,67.87105855855856,3.4370913190529873,17.062857142857144,0.44256672345258374,32.77595155709343
19.460914881297047,47.05289532293987,3.3278396436525615,16.947194163860832,0.380090395480226,29.820974212034383
19.396561604584527,48.36607142857143,2.9249580302182427,16.30185393258427,0.3794573205200678,30.191269385410685
27.145394006659266,60.40638766519824,3.199282560706402,15.838397790055248,0.4475823562255723,38.10017016449235
24.124290578887628,51.33722871452421,2.7231368186874305,13.357906458797327,0.3792893401015229,35.29824660633484
26.81802223522528,57.70103092783505,3.035020126509488,18.052186421173765,0.4945903544450901,28.06231038506418
27.590389016018307,55.55309483248154,3.662152974504249,21.198285714285714,0.5085763490241102,24.563023255813956
21.359563469270533,54.056354226566995,2.8854922279792747,16.311965317919075,0.4453002915451895,29.992721893491122
24.99599542334096,59.879368658399095,2.673443746430611,14.330910131654264,0.4315406643757159,30.72785838653511
